statement,label
  woof exclamation,negative
video will be in the morning now,neutral
if you ever gonna sleep at mine just know we are gonna watch joan rivers do not start with me so sexy is not it,negative
feel like this was created just for you  ,positive
imagine been able to tweet about something fun nope not me have no idea exclamation i am so boring face with tears of joy face with tears of joy,positive
 i am on page # this month exclamation,positive
gee's little laugh is adorable sparkles smiling face see no evil monkey,positive
my mood is pile of poo,positive
when  makes the whole house watch the drivel that is skull skull,positive
 yes then jack congrats on #zerozerok well done,negative
  it does not matter how they became that way telling them oh its okay is only going to make it worse,positive
 ha ha blush,positive
there are places i will not work because of this important that we acknowledge the past ,positive
i am at send in send surrey ,negative
awesome night with  with the send off party exclamation and  captain ,negative
 here comes another album broken heart,neutral
 nice one exclamation i watched felix play against a couple of much older opponents at challenger level last year amazing talent,negative
'if your lucky you can be my girlfriend' lool,negative
  missed you too group huggie grinning face with big eyes face blowing a kiss person gesturing no person gesturing no person gesturing no,positive
 as have i you must have just met a bad bunch,negative
when you wake up too early for work homemade friendly cauliflower cheese shortcrust pastry tart exclamation ,positive
 firm it,positive
 ,neutral
 so much mor hic comprehensive well done,negative
 nah i am good,neutral
       always makes me smile happy,negative
    miings exclamation,neutral
i won # on bejeweled hypercash  via  grinning face ,positive
mac mxtthiass,negative
post show dinner sketch ,negative
,neutral
 where are you my friend when the moon is full,neutral
richly deserved ,neutral
fatty magoo fatty magoo magoo magoo magoo magoo,negative
neutral,negative
extraando red heart back arrow london united kingdom ,positive
happy birthday b more life and see you friday red heart  ,positive
not too bad ,negative
look at my favorite people in the world revolving hearts revolving hearts ,negative
i personally found my britney impersonation on snapchat hilarious,negative
 happy birthday liv growing heart sparkles grinning squinting face x x x x,positive
 we tried nice men never worked heard bad reports he likes a drink more than players you tube clip outside pub ostrich comment,neutral
 elise fearful face i cant believe this exclamation,neutral
 greatest of all time,negative
if i get a # # in my engineering degree i will be okay right,negative
she can have a cup of my jizz for #zero grand raised fist sweat droplets ,negative
one of the amazing perks available from the indiegogo campaign starting jul ## more info at  ,negative
my ride for the night is from  ,negative
oreos are the messiest things to eat face with rolling eyes,positive
edge of seventeen by stevie nicks is in pier eight download it now at ,positive
when can i leave skem,positive
missing christian grey then meet ark morgan of roxie brown a lol spoof  ,positive
,neutral
such struggs trying to pick a dress for last fling tired face tired face,positive
raymond ibrahim moment the pope who gained the world but lost his own soul ,positive
cgttnkotwehno ,positive
so pleased  have released their new song poppy and upbeat so impressed guys pre order is in exclamation see you on the #th flexed biceps,negative
 stop it,negative
small town i guess ,neutral
fucked all my exams xx,negative
 i like the cheadle too ,negative
probably for the best i guess so i do not end up spending more otherwise i will be digging the dumpsters for food this month,negative
has made me so happy exclamation exclamation waited forever for it and it is so nice to see everyone loving it awh yellow heart green heart blue heart red heart purple heart,negative
 two hearts you guys,negative
    they do and it was great i could count them all in #zero seconds ok hand,positive
 you are tipsy x ily face with tears of joy red heart,neutral
  thanks bro exclamation,neutral
 sent you more dm shite happy,positive
midnight munchies decisions decisions see no evil monkey see no evil monkey protein waffle with prutella  gains ,positive
 all jokes aside mohammed was a lovely guy and was very proud of his beamer i hope he finds happiness learns how to trust,positive
 thought you would appreciate the combination of artificial intelligence and cooking exclamation ,positive
there is probably ten goals that get played over and over again gascoigne tellingly has two of them and rightly so an absolute genius,positive
they are far from the finished article but what a fascinating prospect that was a really interesting show and genuinely eerie at times,positive
lmao fr tho ,positive
no one underdtands me exclamation its not fair exclamation exclamation x# waa tired face baby,positive
our survey so far in pictures exempt the lemon tree where they had bottled badger or black sheep  ,positive
 how so what is so unnecessary about wishing to protect your culture and ideal,positive
illustrates the fashion among the upper classes on both sides of the atlantic then to dress boys as girls until around the age of #,negative
stay golden ponyboy red heart ,negative
 blonds have more fun red heart blue heart,negative
  mums sisters,neutral
it is really good stick with it watch all # seasons face with tears of joy ,negative
eu amo hozier eu quero atravessar a cidade correndo,negative
booking my tat in on saturday bit ard' are not i,negative
i would also like to see a sequel to cult classic amy winehouse #,negative
 mine can decorate and he is good at making stuff and putting things together horrible at tidying up,neutral
imagine being able to get a decent night sleep smiling face with smiling eyes,positive
 so i will give you that you did help me,neutral
it is not really but dylan is the only man for me bros before hoes cannot let no fuckboy get in the way ,negative
but it is okay bc the caribbean is smaller and less relevant it is not a continent,neutral
  they are so lucky exclamation,negative
happy my back is feeling tonnes better flexed biceps,negative
love has no color ,negative
a huge thank you to  for turning all night revision into a sing along session love the app happy,negative
battered halloumi smiling face with heart eyes,positive
ay tanga sense the tone expressionless face,negative
atakan bi kere damladan daha zeki kazanr inallah ben her trl nlleri destekliyorum nagi olmad atakan olsun,positive
 oh do not do it to yourself exclamation exclamation,negative
 person raising hand person raising hand person raising hand folded hands folded hands folded hands soccer ball soccer ball soccer ball soccer ball soccer ball soccer ball soccer ball red heart red heart,neutral
,neutral
 yass,positive
 hahah just saw this exclamation i feel like a chicken loudly crying face loudly crying face flushed face,positive
   no its a roll loudly crying face loudly crying face,positive
 umm never mind,negative
yes please smiling face with smiling eyes ,positive
how many people relate to michael in gta v,neutral
abbi always looks flawless when she goes out smiling face with heart eyes weary face,positive
 please it would make me the happiest person ever exclamation exclamation folded hands folded hands folded hands folded hands folded hands folded hands anxious face with sweat person raising hand person raising hand person raising hand person raising hand,negative
 im crying,positive
waiting # months for a hospital or doctors appointment face with rolling eyes,positive
   yep exclamation its a brand new feature today d,positive
 how can you not face with tears of joy did not you used to get like one# over onezerozero face with rolling eyes,negative
sat watching the dark knight for the millionth like i know all the words face with tears of joy smiling face with horns joker,negative
 happy birthday you black cunt love you always exclamation,neutral
dan rad red heart ,negative
presentation ,neutral
 ,neutral
got about # hours til me and george have to be up and get to gatwick airport beaming face with smiling eyes sleeping face,negative
 haha legend exclamation it does have educational elements enough to keep the brain ticking over smiling face with smiling eyes,positive
i love you all so much        two hearts,negative
despite how much i am feeling you it is not me who will beef another girl for you upside down face,positive
zoro said to the tree grow fast or i will trim your branches with my fathers axe ,negative
fuck everyone only one person that will make you happy is yourself so fuck everyone exclamation exclamation,negative
you dont know the mountains we face day to day,positive
 face screaming in fear face screaming in fear about time lol it is bloody brilliant season # was my favorite,positive
 its so like that with tiger face you do not know what you are going to get from one week to the next,negative
and an  parfums inspires box and if  had had the lipstick rose shower gel  ,negative
this look back at euro ## is getting me very excited for the euros,negative
nigel farage looks like a wrinkly scrotum,negative
 did you migrate to the newer mchf firmware with usb sound support i get a white screen i think gav said to remove some resistors,positive
  mums sisters,neutral
bills by lunchmoney lewis is in parade bar bath download it now at ,negative
where is nessi loch ness scotland ,positive
why do i always look at the most expensive bags engagement rings and houses like i am gonna be a baller in the next month neutral face face with rolling eyes,negative
 i would but horror and i do not mix,negative
nope happy ,neutral
booking my tat in on saturday bit ard' are not i,negative
cannot explain how happy a ridiculously clean apartment makes me,negative
 fave album not a bold shout tbf it is top five in hunter palace,neutral
 hey there was wondering if you want to make some coins possibly double yours by trading if your interested follow for dm,positive
loves george,negative
    i have turned away from to watch now exclamation,positive
rt my is pillowtalk by  vote for this heavenly human ,negative
two days left till i pick up the new car exclamation exclamation,positive
  do you not fancy putting a kit on and having a run out kate soccer ball winking face,positive
 dashing away person running,negative
 rewatching star trek # really noticing some fine directorial touches that opening ride to camera is beautiful,positive
    tickets one and have a leap of faith and use bobmacuk with paypal,positive
  that jacket goes so well with your stand smiling face with smiling eyes,negative
# little penguins penguin penguin sparkling heart chester zoo ,negative
just sobbing because i do not want to put off uni for another year but then do not want to settle for a course that i am not passionate about,negative
 happy birthday you legend,positive
 yass,positive
just want you back now downcast face with sweat,positive
 where did that sassy tweet that just made my day disappear too broken heart,positive
 oh noo mine is still here never mind hope it goes well xxx,negative
used  samples to make this music cause dem cats is cool and i like cats exciting times  flushed face ,positive
 absolutely loving this nothing better than a good old long chat exclamation,positive
gonna re consider now you done bear grylls thinking face face with tears of joy  ,positive
 haha kiss my arse jock strap exclamation i am only ## tomorrow,positive
boom exclamation exclamation sign of the kodiac wins for members advised at one# one backed into one# one exclamation exclamation,positive
    cannot wait to see those moves exclamation exclamation ,positive
great times with great friends tonight d lymewood farm farmhouse inn ,positive
think i would of been in paul inces room at euro## clinking beer mugs clinking beer mugs,negative
  true cannot be controlled but w a marginalised selection of ambassadors then it will ,negative
fascinating reading ,neutral
captain haddock and tin tin scrub up well fair play ,negative
i have literally slept for # days and i am still tired face with tears of joy face with tears of joy,positive
 i am on page # this month exclamation,positive
sometimes like makes no sense ,negative
## ## bst temp one# zeroc wind n # mph ave # mph gust humidity ## rain hoy zero zero mm pressure onezero#zero hpa steady,negative
 # till #,neutral
char lang move on na ako mag ayos na ako oy hindi na ako magcrush crush last na yun siya grinning face with sweat raised hand,positive
zerozerohrs forecast settled fine temp onezero #c uv zero baro onezero## zerohpa steady windgust # #mph n rain#day zero zeromm sunset #one zero#hrs,positive
 pleassee person raising hand person raising hand person raising hand person raising hand folded hands folded hands folded hands folded hands folded hands folded hands folded hands,negative
 still going on about this,negative
post f# clinical development fellow ie we do not have enough shos doing acute stuff jobs on the go temping,neutral
 its on my watchlist not worth it,negative
one# #c today with no sun one# days last december had temps higher than today exclamation exclamation,positive
   thanks rachel exclamation,neutral
,neutral
the ira's ex intelligence director sees the birmingham bombers not as murderers but participants in a just war that cuts both ways,negative
   tph,positive
wish i bought a sunday ticket for parklife saturday line up does not interest me much,negative
tap below to add me on snapchat ,positive
new music alert ,neutral
great legs xx ,neutral
  my money would be on theresa may we need a pm who can carry off leopard kitten heels,negative
tell you what dean goodwin looks fucking lush tonight,negative
 uyanik oldugun icin tisikkirlir sipirmin,neutral
fantastic show   tears laughter just so much great music thank you see you in wembley,negative
marsh harrier and heigham holme mill ,positive
 red heart this,neutral
 sanders ,negative
 surely gove prepared to sacrifice prosperity of uk in gamble will make  pm and he will be chancellor,positive
why are you so obsessed with me weary face weary face,negative
 submission beaming face with smiling eyes four leaf clover folded hands a bottle feeding mother sees a breastfeeding mother and smiles ,positive
 so why ## for a # year old football top,positive
hey rob hope all's good exclamation check out  went tonight think you will be a fan tomato mushroom melon seedling smiling face x ,positive
 jisoo looks so different wtf,neutral
it is been an exceedingly long day of very mixed emotions i am tired and hungry so i have opted for an nice aromatic crispy duck winking face with tongue,positive
that zara girl who won miss great britain cannot cope face with tears of joy face with tears of joy,negative
cannot wait to see more roger and bree in the upcoming seasons clapping hands,negative
 i tweeted about him earlier with a pink,positive
 i had andrew ridgley's autograph on a napkin as it happens no idea where that is now,positive
 i am in ireland can we meet red heart victory hand,negative
the beautiful in  ,neutral
 there is the first panic buy of the summer hardly a proven goal scorer face with tears of joy face with tears of joy bpl coming home to the right side of manchester thumbs up thumbs up,negative
 stay strong what you are doing is great do not let the pond life get you down exclamation x,positive
that moment when my nans gardener asks for my age and my nan shouts 'way to young for you so back away from my grandchild exclamation ' too funny exclamation face with tears of joy old woman,negative
hmm could have done with one of these at work today ,negative
adventure of a lifetime starts tomorrow and i am in the worst mood ever downcast face with sweat,positive
 if you want info on the eu referendum please take some time to make a informed decision,positive
one of the hundred olive tree's i have sponsored ,negative
  i will not be there until the friday so let us hope it holds out,negative
 where did that sassy tweet that just made my day disappear too broken heart,positive
  wow exclamation,positive
 thank you so much for joining me exclamation exclamation sign of the horns sign of the horns,negative
gotta love a conference call,neutral
ok hand ok hand ok hand ok hand ,negative
three hours of  would be so much better without all the prolonged fight sequences and car chases winking face with tongue,negative
 strangest find during turnstone survey y'day on kids toy kitchen unit exclamation plastic of course ,negative
 me and my friends still occasionally blast it in the car,positive
more than #zero billion packs of  are eaten per year ,neutral
if you ever gonna sleep at mine just know we are gonna watch joan rivers do not start with me so sexy is not it,negative
the whole dvsn album ,negative
 ,neutral
  true cannot be controlled but w a marginalised selection of ambassadors then it will ,negative
lorna laidlaw    sun # july ,positive
 blimey exclamation exclamation,positive
just posted a photo sobeautylicious sobridal ,negative
nightmare looking at my bank statement from sunday weary face retro rooms baabar and ngone is all i see exclamation exclamation,negative
falling asleep day soon as i come bed i am wide awake face with tears of joy zzz,positive
i give up i actually give up,negative
confirmed nlc to the nw just now,neutral
 typical bbc,neutral
 oh absolutely exclamation you are the first in my hit list winking face,negative
 lionbridge rolls royce mate x,positive
on this day began a # week stay at number one in the billboard chart ,positive
posh posh st james's palace in westminster london ,neutral
## ## bst temp wind humidity rain hr zero zero mm pressure onezero#zero hpa steady,positive
lol something you would share grinning face with sweat loudly crying face ,positive
     factor #zero this year lesson learnt tee hee x,positive
she can have a cup of my jizz for #zero grand raised fist sweat droplets ,negative
need to start sketching again dont wanna get really shit again before i go back to uni,positive
always second best upside down face,positive
 is my life omg,negative
 for sure but will stuarty milne get the check book out,negative
,neutral
part of the reason i love this dumb show is because it is just rly funny and a creative fun play on stereotypes im just sighs exclamation exclamation,negative
 have they announced any shows,negative
miles and alex are fucked face with tears of joy face with tears of joy ,negative
me when i get some of  lingeries smiling face with heart eyes smiling face with heart eyes ,positive
       so pretty is not it hopefully have some this yr,negative
a happy birthday to  have a good one lady,negative
 lmao why you mention me the same thing twice face with tears of joy face with tears of joy ,positive
luuciidity coome back to mee,negative
literally want to cry and kill my self ,negative
 yeah it is a strange one hopefully the purse strings are tightened soon and he will walk like he did at palace,negative
 or get follwed back exclamation,positive
 missclikeame esta maana estoy de descanso unos vicios pegan,positive
 sorry about that,positive
happy my back is feeling tonnes better flexed biceps,negative
this is you  face with tears of joy face with tears of joy ,positive
watching only fools and horses in bed feeling tired sleepy time soon,negative
 oh ok corel painter level up oh like get the #zeroone# upgrade,negative
you are a dick sleeping face sleeping face,negative
loll everyone on love island needs to chill really,negative
zerozero #one bst temperature one# #c wind sw one mph ave # mph gust humidity ## rain hoy zero zero mm pressure onezeroone# hpa falling slowly,negative
 they are brilliant face with tears of joy face with tears of joy,negative
 you are too kind exclamation exclamation thanks grinning face with big eyes grinning face with big eyes,positive
 i grew up with a railway line at the bottom of the garden you get used to it,negative
   noo exclamation exclamation,positive
## ## bst galgate temp oneone #c wind s one mph ave # mph gust rh #one rain onehr zero zero mm press onezero#zero zero hpa rising slowly,negative
be frazzled,neutral
sometimes thinks seem to make sense that are not true,negative
    i have the ultimate suggestion ,neutral
 it is pretty tasty i am liking it exclamation,negative
re evaluating my life watching 'seventy with a six pack' thinking face,neutral
 iain suggested they were main players in the october thing x,positive
 where do you see rain any forecast i have seen says sunshine almost the whole day,positive
 do you do this,negative
hello terry smiling cat face with heart eyes smiling cat face with heart eyes,negative
hoy temp one#c ##f wind northerly spd #mph hum ## pres onezero##mb rising vis very good,negative
dan rad red heart ,negative
 saya beli # kasut,positive
  take nothing for granted still much work to be done,neutral
 you are welcome happy,neutral
  true cannot be controlled but w a marginalised selection of ambassadors then it will ,negative
i am at beauchamp house in coventry ,neutral
sometimes reality does not live up to the fantasy hmm,negative
worlds best striker in his mind scores,negative
so far rumours include a predominantly glass design something like the # including dual curve screen like galaxy s#,negative
    in furtherance to ayshas point the court should,negative
 yeah been stuck in my head for days i love it,positive
 yo enjoy the youtube vids man you do a podcast or anything all great stuff man,negative
copyrighted ,neutral
ive had my new phone for # days and i have already fucked it,negative
 fickle fans ## year servant not good enough mugs,neutral
you are loudly crying face smiling face with heart eyes red heart ,positive
tomorrow is my friday yet it is thursday disguised as wednesday,negative
 iain suggested they were main players in the october thing x,positive
great brain storming daddio,negative
watching only fools and horses in bed feeling tired sleepy time soon,negative
helicopter helicopter belfast at night,neutral
  i have been watching all day,positive
 syempre exclamation presentt exclamation smiling face with heart eyes,positive
the joint committee of the european supervisory authorities eba eiopa esma esas launched its dedicated website ,positive
# # months tapos na mga adik cge tapusin nyo narin ako adik s pag ibig pero walang pumapansin ,neutral
i felt very lucky today fortunate to work in the nhs and get some answers that i have been waiting for folded hands,positive
prosecco and movies with  man and woman holding hands face blowing a kiss,positive
just posted a photo basingstoke ,negative
   bravo jean go girl exclamation xx,negative
  loudly crying face loudly crying face,positive
queensway london ,neutral
angry face angry face,positive
you can achieve whatever you set your heart on exclamation health fitness and the body you have always ,negative
 your father in law is not the messiah he is a very naughty boy exclamation winking face face with tears of joy speak no evil monkey see no evil monkey,positive
   deep in convo,negative
sit back and disengage,positive
i wanna go out upside down face,negative
proof that  whitens his teeth beaming face with smiling eyes ,negative
 this is where i live welcome to my world,negative
      no thinking face muum exclamation exclamation,positive
 me as well,negative
welcomes  with great audience reception catch it till ,neutral
worst for putting stuff down then forgetting where i have put it,negative
is  that glow up tho smiling face with heart eyes microphone tongue sweat droplets face blowing a kiss ,positive
   he was the highlight,positive
   deep in convo,negative
 you are too kind exclamation exclamation thanks grinning face with big eyes grinning face with big eyes,positive
cannot explain how happy a ridiculously clean apartment makes me,negative
 i grew up with a railway line at the bottom of the garden you get used to it,negative
being bored not tired single and awake at a time nobody else is up is a bad combination,neutral
     bahahahaa exclamation,positive
 yey thankyou again xx,positive
 you were my i should be your,negative
i am at london  in london greater london ,positive
calmer and less angry the person is still probably being a dick but you do not accidentally say something in anger you will regret later,neutral
bruce springsteen hampden park glasgow tonight ,negative
 yep you are also that xx,neutral
the beginning of my mum's midlife crisis ,neutral
 or olly i love olly,positive
 love you face blowing a kiss,negative
obviously must be a girl thing letting stupid things eat away at you thinking face upside down face,negative
for   never more apt  your days are over ,negative
 remember watching this all the time ,neutral
temp # #c hum #zero wind # #mph dir n pres onezerozero# # hpa rising slowly rain zero zero uv zero sol zero light zero zero forcast fine possible showers,positive
 love your header btw x,negative
bedtime selfie ,negative
 he really is a clown that is perhaps a kind # letter word clot may me another,positive
just a tad stressed,negative
if there is one thing i wish i was better at it is being calm in a crisis,negative
beaming face with smiling eyes,negative
  face with tears of joy,negative
mick newell we have been very ordinary for large parts of the game ## run defeat at durham ,negative
found this great venue 'seaford pizza' in seaford find out more ,positive
cameron phillips terminator the sarah connor chronicles ,neutral
 love this exclamation exclamation kisses x,positive
supper tea and tequila shoreditch house ,positive
there is just too many dreams in this wasteland,negative
i am the happiest i possibly could be and its just so great exclamation exclamation,negative
living with freshers for fourth year was such a mistake,neutral
your grandchildren will be mick hucknall fans,neutral
 i am ok thanks have you had a good day xx,neutral
  what some journalists mistake for news these days ,neutral
 haha you were obsessed with him xx,negative
  could have ironed his shirt or used some of his onezerozero zerozero a week to hire someone to iron it new moon face,positive
i think they are gonna reveal the woodpecker the dog and then the bug tomorrow,negative
 brb crying,negative
 hugs,negative
ok it is done now to bed ,negative
kevin hart is just casually walking in london what why am i not there,positive
 is my life omg,negative
i am sorry i missed this great storify exclamation ,negative
slightly smiling face,negative
  lemme read this now loudly crying face,neutral
 blimey you still have not served enough time here,neutral
if my neighbours could stop shouting that would be great,neutral
 thankyou for rt xx,negative
wind # # kts ene barometer onezero## # hpa steady temperature onezero zero c rain today zero # mm humidity ##,positive
ppl i know are makin live music this summer is gonna be a wave,positive
i spewed on an indian girls blanket thing,negative
i get the sweetest feeling by jackie wilson is in shrewsbury arms chester download it now at ,negative
bestday cow face chicken front facing baby chick on sunday we visited bucklebury farm in reading berks which is hands down the best ,negative
show me how you get down face with tears of joy,negative
we are team party popper circus tent circus tent we are festival ,neutral
lies all lies ,neutral
 best recording tonight thanks to  for our dancing once again loved it nice to see you also ,negative
 if i come gp rn come meet me xx,neutral
the day that collar bones and thigh gaps became significant was the day my self esteem became none existent,negative
that news made me extremely happy smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes,positive
 good luck ,neutral
why do i do things,negative
how are these people close to dropping l bombs already it is been # days hear no evil monkey hear no evil monkey,positive
'fleur de lis' watch ya mouth exclamation,neutral
 uhm pass i kinda skipped her a bit to get to tricia last night could not sleep and cc helps me sleep,positive
smiling face with smiling eyes rose red heart ,positive
 i was as shocked as you are like i was sure i followed you right from day one im so sorry but it is ok kisses kisses kisses x,positive
cuba teka nak pi mana hihihi ,neutral
fosse park exclamation cannot wait grimacing face sparkling heart,negative
so need a trip to amsterdam winking face with tongue,negative
regretting the #zero winks early evening exclamation,negative
volunteer coaches wanted exclamation assist on saturday mornings at our dev center could lead to further opportunities minimum fa lone ,positive
had enough,negative
 thank you so much for joining me exclamation exclamation sign of the horns sign of the horns,negative
felt like bit of a coaching guru today good to know my uefa a comes in handy sometimes,positive
